file,name,description
files/Cases\Case_CA11382.htm,KSS01040,Movimento indietro non possibile: nessuna Traccia
files/Cases\Case_CA11384.htm,KSS01411,Selezione blocco oltre il buffer. Il prossimo avvio cancellera' il buffer
files/Cases\Case_CA11385.htm,KSS01411,Selezione blocco oltre il buffer. Il prossimo avvio cancellera' il buffer
files/Cases\Case_CA11386.htm,KSS01039,Movimento indietro non possibile: Traccia Vuota
files/Cases\Case_CA11393.htm,KSS00201,Pulsante uomo morto rilasciato
files/Cases\Case_CA11395.htm,KSS00201,Pulsante uomo morto rilasciato
files/Cases\Case_CA11400.htm,KSS01106,Peso utensile non ancora appreso
files/Cases\Case_CA11402.htm,KSS01409,Nessun Trigger permesso in ISR oppure *.SUB
files/Cases\Case_CA11403.htm,KSS01137,Distanza calibrazione EMD eccessiva
files/Cases\Case_CA11405.htm,KSS01137,Distanza calibrazione EMD eccessiva
files/Cases\Case_CA11408.htm,KSS01211,STOP a causa del finecorsa software {Direzione di spostamento} {Numero di asse}
files/Cases\Case_CA11422.htm,KSS14001,Conf. disattivazione tensione bus di comando
files/Cases\Case_CA11425.htm,KSS26013,Errore generico convertitore ({Azionamento}).
files/Cases\Case_CA11429.htm,KSS14009,Boot non riuscito nel modulo: {Nome del modulo}
files/Cases\Case_CA11439.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA11442.htm,KSS03191,Sensori attivi non possibili durante {Funzionalità incompatibile}
files/Cases\Case_CA11447.htm,KSS26177,Incremento valore forza nel controllo forza mancante ({Azionamento}).
files/Cases\Case_CA11459.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA11480.htm,KSS00277,Riposizionamento automatico
files/Cases\Case_CA11486.htm,KSS00375,Riscaldamento attivo
files/Cases\Case_CA11489.htm,KSS01009,Conversione punto senza modello accuratezza assoluta non possibile.
files/Cases\Case_CA11495.htm,TEC00022,Touchup impossibile. Modifica di orientamento eccessiva.
files/Cases\Case_CA11496.htm,TEC00021,Touchup impossibile. Distanza cartesiana eccessiva.
files/Cases\Case_CA11497.htm,TPBASIS 00104,Touchup impossibile. Modifica orientamento {0} eccessiva.
files/Cases\Case_CA11498.htm,TEC00023,Touchup impossibile. Distanza assi esterni eccessiva.
files/Cases\Case_CA11499.htm,TPBASIS 00103,Touchup impossibile. Distanza cartesiana {0} eccessiva.
files/Cases\Case_CA11500.htm,TEC00022,Touchup impossibile. Modifica di orientamento eccessiva.
files/Cases\Case_CA11501.htm,TEC00021,Touchup impossibile. Distanza cartesiana eccessiva.
files/Cases\Case_CA11502.htm,TPBASIS 00104,Touchup impossibile. Modifica orientamento {0} eccessiva.
files/Cases\Case_CA11503.htm,TEC00023,Touchup impossibile. Distanza assi esterni eccessiva.
files/Cases\Case_CA11504.htm,TPBASIS 00103,Touchup impossibile. Distanza cartesiana {0} eccessiva.
files/Cases\Case_CA11531.htm,KSS15058,Controllo in stato a prova di errori.
files/Cases\Case_CA11536.htm,SafetyConfigSmartHmiImpl  UpdateMadaRequest,I dati macchina della configurazione di sicurezza sono diversi dai dati su questo controllo. Aggiornare la configurazione di sicurezza? (consigliato)
files/Cases\Case_CA11538.htm,KSS00081,Arresto del robot tramite Submit
files/Cases\Case_CA11540.htm,KSS00082,Arresto del robot tramite Submit
files/Cases\Case_CA11542.htm,KSS03193,Conf.: Arresto del robot tramite Submit
files/Cases\Case_CA11545.htm,KSS15012,Errore tasto di consenso
files/Cases\Case_CA11578.htm,KSS03297,Asse {Indice asse} in limitazione di coppia
files/Cases\Case_CA11597.htm,KSS00114,Area di lavoro n. {Numero area di lavoro} violata.
files/Cases\Case_CA11598.htm,KSS00114,Area di lavoro n. {Numero area di lavoro} violata.
files/Cases\Case_CA11603.htm,KSS01384,Parametro non processato
files/Cases\Case_CA11619.htm,KSS01375,Comando non permesso
files/Cases\Case_CA11621.htm,KSS01172,"Il valore non può cambiare, il programma è selezionato"
files/Cases\Case_CA11629.htm,KSS00264,{Percorso} Caricamento dati di correzione interrotto
files/Cases\Case_CA11641.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA11653.htm,KSS02866,Richieste di area lavoro non possono essere eseguite con Trigger
files/Cases\Case_CA11654.htm,KSS02815,La definizione Area di lavoro è cambiata. Il programma deve essere aggiornato.
files/Cases\Case_CA11657.htm,KSS02810,Questa area di lavoro non è stata definita
files/Cases\Case_CA11658.htm,KSS02871,Richiesta zona lavoro '{ws_name}' fallita.
files/Cases\Case_CA11660.htm,KSS02809,L'area di lavoro {ws name} non esiste su {KRC name}
files/Cases\Case_CA11662.htm,KSS02865,Massimo numero di richieste area lavoro tra due istruzioni di movimento.
files/Cases\Case_CA11664.htm,KSS02814,Area di lavoro '{ws name}' attualmente riservata ad un altro programma
files/Cases\Case_CA11666.htm,KSS02813,L'area di lavoro {ws name} non è riservata ad alcun programma.
files/Cases\Case_CA11668.htm,KSS02812,Area di lavoro '{workspace name}' non riuscita - Connessione a {krc name} non possibile
files/Cases\Case_CA11670.htm,KSS02812,Area di lavoro '{workspace name}' non riuscita - Connessione a {krc name} non possibile
files/Cases\Case_CA11673.htm,KSS03009,Proprietà di {Denominazione area di lavoro} persa - (cold booted controller)
files/Cases\Case_CA11675.htm,KSS02807,Bloccaggio di sicurezza intervenuto. Il programma attende '{WorkspaceName}' dal programma '{RemoteProgram}' ({RemoteKrc})
files/Cases\Case_CA11677.htm,KSS02807,Bloccaggio di sicurezza intervenuto. Il programma attende '{WorkspaceName}' dal programma '{RemoteProgram}' ({RemoteKrc})
files/Cases\Case_CA11679.htm,KSS02808,Area di lavoro {ws name} non è in sequenza esatta. Può provocare un blocco di sicurezza.
files/Cases\Case_CA11681.htm,KSS02821,$ORI_TYPE impostata implicita #VAR
files/Cases\Case_CA11682.htm,KSS02825,Il programma submit non può eseguire comandi di condivisione della zona lavoro.
files/Cases\Case_CA11686.htm,KSS26017,Regolatore posizione nella limitazione ({Azionamento}).
files/Cases\Case_CA11695.htm,KSS01603,Grata di protezione aperta
files/Cases\Case_CA11696.htm,KSS01603,Grata di protezione aperta
files/Cases\Case_CA11698.htm,KSS02857,Sistema ripristinato dal modo ibernazione
files/Cases\Case_CA11707.htm,KSS01506,Parametri del cerchio non permessi
files/Cases\Case_CA11712.htm,KSS02829,OriJoint non possibile: configurazione delle posizioni inizio e fine differenti
files/Cases\Case_CA11714.htm,KSS02829,OriJoint non possibile: configurazione delle posizioni inizio e fine differenti
files/Cases\Case_CA11716.htm,KSS02936,$CP_STATMON: angolo asse errato
files/Cases\Case_CA11718.htm,KSS02937,$CP_STATMON: Approssimazione non possibile
files/Cases\Case_CA11721.htm,KSS02940,Limite Cycflag simultaneamente attivi ({Numero}) superato {ModuleLine}
files/Cases\Case_CA11725.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA11727.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA11731.htm,KSS14010,Sistema ripristinato dal modo ibernazione
files/Cases\Case_CA11743.htm,KSS26196,Errore su assi accoppiati ({Azionamento}) ({Tipo errore}).
files/Cases\Case_CA11781.htm,KSS00336,Pacchetto Motion Cooperation non installato
files/Cases\Case_CA11782.htm,KSS01347,Robot non calibrato
files/Cases\Case_CA11788.htm,KSS02972,Errore checksum nel file {Nome file}
files/Cases\Case_CA11797.htm,KSS02997,Jogging non permesso: pulsante Start premuto
files/Cases\Case_CA11798.htm,KSS02998,Movimento asincrono attivo
files/Cases\Case_CA11802.htm,KSS01005,Nessuna memoria del sistema disponibile
files/Cases\Case_CA11804.htm,KSS01038,Modo operatore non valido
files/Cases\Case_CA11807.htm,KSS01543,"Tutti gli ingressi analogici, ciclici occupati"
files/Cases\Case_CA11808.htm,KSS01569,"Modifica del parametro non permessa, canale occupato"
files/Cases\Case_CA11809.htm,KSS02004,Attesa DEFDAT
files/Cases\Case_CA11810.htm,KSS02008,Frase non può essere modificata
files/Cases\Case_CA11826.htm,KSS02010,Nome di una lista DAT non può essere modificato
files/Cases\Case_CA11828.htm,KSS02047,Oggetto inesistente
files/Cases\Case_CA11829.htm,KSS02032,Comando non permesso
files/Cases\Case_CA11831.htm,KSS02051,Il nome nella prima riga deve essere uguale al nome del modulo
files/Cases\Case_CA11833.htm,KSS02052,Nome del campo inserito non permesso
files/Cases\Case_CA11834.htm,KSS02074,Attesa indici crescenti
files/Cases\Case_CA11841.htm,KSS02086,Limite del campo mancante
files/Cases\Case_CA11842.htm,KSS02106,Non si può cancellare la frase
files/Cases\Case_CA11843.htm,KSS13036,Timeout consenso. Rilasciare il tasto di consenso e premerlo di nuovo.
files/Cases\Case_CA11844.htm,KSS00416,Spegnimento controller ….
files/Cases\Case_CA11846.htm,KSS02923,istruzione non permessa dentro blocco spline
files/Cases\Case_CA11848.htm,KSS00301,Stop durante misurazione attiva-movimento consid.come test
files/Cases\Case_CA11851.htm,KSS10094,{Nome istanza bus}: Errore di bus grave nella stazione {Modulo contenente errori}.
files/Cases\Case_CA11879.htm,KSS01516,Sistema di riferimento non programmato
files/Cases\Case_CA11918.htm,KSS03275,I moti di avanzamento nel PalMode sono consentiti solo con frasi singole PTP e SPTP.
files/Cases\Case_CA11919.htm,KSS01366,Punti cartesiani non raggiungibili
files/Cases\Case_CA11923.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA11925.htm,KSS02295,Componenti del campo non possono essere indicati
files/Cases\Case_CA11926.htm,KSS02296,Non è un nome della costante di questo tipo
files/Cases\Case_CA11958.htm,KSS03260,Riconfigurazione impossibile nello stato BUSPOWER OFF
files/Cases\Case_CA11966.htm,KSS02360,Parametri superamento non permessi dentro a blocco spline
files/Cases\Case_CA11968.htm,KSS02359,L'uso di questa istruzione KRL non è permessa dentro a blocco spline.
files/Cases\Case_CA11970.htm,KSS02380,Istruzione in PTP_SPLINE non consentita.
files/Cases\Case_CA11972.htm,KSS02363,Distanza-trigger con movimento spline inammissibile
files/Cases\Case_CA11974.htm,KSS02255,"Espressione diversa da CHAR, INT, ENUM"
files/Cases\Case_CA11976.htm,KSS02256,"Operando diverso da INT, REAL"
files/Cases\Case_CA11978.htm,KSS03200,Azione non ammessa con il programma robot selezionato
files/Cases\Case_CA11980.htm,KSS03158,{Nome del modulo} : Nome modulo inammissibile.
files/Cases\Case_CA11982.htm,KSS03157,{Nome del modulo} : Nome più lungo di 24 caratteri
files/Cases\Case_CA12061.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA12085.htm,KSS02098,Variabile non è dichiarata nella lista DAT
files/Cases\Case_CA12090.htm,KSS15115,Arresto di sicurezza Stop 1 dall'esterno
files/Cases\Case_CA12092.htm,KSS15117,Arresto di sicurezza Stop 2 dall'esterno
files/Cases\Case_CA12229.htm,KSS02335,Segnale composto più di 32 Bit
files/Cases\Case_CA12230.htm,KSS02144,Manca ENDLOOP
files/Cases\Case_CA12231.htm,KSS02352,$OUT_C(n) non disponibile qui
files/Cases\Case_CA12237.htm,KSS15040,Conferma: Superata velocità massima globale degli assi
files/Cases\Case_CA12239.htm,KSS15042,Conferma: superata velocità assi a riduzione sicura
files/Cases\Case_CA12241.htm,KSS15039,Conferma: Superata velocità massima cartesiana globale
files/Cases\Case_CA12243.htm,KSS15041,Conferma: superata velocità cartesiana a riduzione sicura
files/Cases\Case_CA12251.htm,KSS15019,Conferma: superata velocità massima specifica per asse nel modo T1
files/Cases\Case_CA12266.htm,KSS15019,Conferma: superata velocità massima specifica per asse nel modo T1
files/Cases\Case_CA12267.htm,KSS15046,L’errore era sull’interruttore di riferimento calibrazione
files/Cases\Case_CA12268.htm,KSS15112,Monitoraggio tempo di impulso conferma regolazione violato
files/Cases\Case_CA12269.htm,KSS15110,Livello sull’ingresso conferma calibrazione imprevisto High
files/Cases\Case_CA12270.htm,KSS15114,Calibrazione confermata senza richiesta di riferimento
files/Cases\Case_CA12271.htm,KSS15108,Errore all'ingresso di conferma calibrazione
files/Cases\Case_CA12272.htm,KSS15065,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA12277.htm,KSS15039,Conferma: Superata velocità massima cartesiana globale
files/Cases\Case_CA12278.htm,KSS15040,Conferma: Superata velocità massima globale degli assi
files/Cases\Case_CA12280.htm,KSS15041,Conferma: superata velocità cartesiana a riduzione sicura
files/Cases\Case_CA12348.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA12355.htm,KSS03170,Asse {Asse} non in posizione di zero meccanico
files/Cases\Case_CA12359.htm,KSS14009,Boot non riuscito nel modulo: {Nome del modulo}
files/Cases\Case_CA12373.htm,MadaConfiguration 00007,Non esistono parametri servo Supply per {0} con un’intensità del resistore di {1}
files/Cases\Case_CA12429.htm,KSS00455,Errore di lettura di {File XML}
files/Cases\Case_CA12466.htm,KSS12038,Monitoraggio della temperatura del trasformatore non attivato
files/Cases\Case_CA12471.htm,KSS12003,Sovratemperatura trasformatore
files/Cases\Case_CA12486.htm,KSS15066,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA12584.htm,KSS13037,"Impossibile avviare stack di controllo Profinet, numero errore:{Codice}"
files/Cases\Case_CA12586.htm,KSS13038,"Impossibile avviare stack del dispositivo Profinet, codice errore: {Codice}"
files/Cases\Case_CA12588.htm,KSS13038,"Impossibile avviare stack del dispositivo Profinet, codice errore: {Codice}"
files/Cases\Case_CA12592.htm,KSS13021,<{ID bus}> Errore rete Ethercat. {Dettagli} [{Dettagli}]
files/Cases\Case_CA12594.htm,KSS27009,Efficacia freno{Freno n.}{Asse n.} OK
files/Cases\Case_CA12596.htm,KSS13008,<{Nome istanza}> Errore bus Ethercat. {Parametro supplementare} {Parametro supplementare}
files/Cases\Case_CA12597.htm,KSS13011,<{ID bus}> Errore di lettura file di configurazione [{Nome file XML}]
files/Cases\Case_CA12598.htm,KSS13011,<{ID bus}> Errore di lettura file di configurazione [{Nome file XML}]
files/Cases\Case_CA12599.htm,KSS13011,<{ID bus}> Errore di lettura file di configurazione [{Nome file XML}]
files/Cases\Case_CA12600.htm,KSS13020,<{ID bus}> Errore bus Ethercat. Apparecchio: {Dettagli} [{Dettagli}]
files/Cases\Case_CA12601.htm,KSS13013,<ECat> Errore durante la creazione di istanze dello stack ECat
files/Cases\Case_CA12603.htm,KSS13015,<{ID bus}> Errore rete Ethercat scansione bus. Dispositivo: {Apparecchio errato} [{Informazione addizionale}]
files/Cases\Case_CA12604.htm,KSS13020,<{ID bus}> Errore bus Ethercat. Apparecchio: {Dettagli} [{Dettagli}]
files/Cases\Case_CA12607.htm,KSS13016,<{ID bus}> Mancata ricezione di frame di rete [{Dettagli}]
files/Cases\Case_CA12609.htm,KSS13015,<{ID bus}> Errore rete Ethercat scansione bus. Dispositivo: {Apparecchio errato} [{Informazione addizionale}]
files/Cases\Case_CA12612.htm,KSS13080,<{Istanza bus}> Apparecchio Ethercat: '{Nome dispositivo}' non può essere avviato. {Causa}
files/Cases\Case_CA12616.htm,KSS13016,<{ID bus}> Mancata ricezione di frame di rete [{Dettagli}]
files/Cases\Case_CA12617.htm,KSS13068,<{Istanza bus}> Partecipante EtherCAT {Nome apparecchio} non collegato al bus.
files/Cases\Case_CA12620.htm,KSS13080,<{Istanza bus}> Apparecchio Ethercat: '{Nome dispositivo}' non può essere avviato. {Causa}
files/Cases\Case_CA12661.htm,KSS13040,Errore di lettura di {File config.}
files/Cases\Case_CA12666.htm,KSS13041,Errore di lettura dell'indirizzo MAC dal KLI
files/Cases\Case_CA12671.htm,KSS02187,Serie di caratteri attesa
files/Cases\Case_CA12672.htm,KSS01388,{Nome} Variabile protetta in scrittura nel modulo {Nome file} frase {Numero frase}
files/Cases\Case_CA12728.htm,KSS02868,Posizione di destinazione PTP in singolarità {Denomínazione della singolarità}
files/Cases\Case_CA12731.htm,KSS00320,Assi sono simulati {Bitmask of simulated axes}
files/Cases\Case_CA12791.htm,Cross3Archive 00069,Ripristino annullato! Mancano i seguenti pacchetti tecnologici nell'archivio ({0}) o nel controllo ({1})!
files/Cases\Case_CA12799.htm,KSS06503,Errore di configurazione driver I/O {Nome driver}
files/Cases\Case_CA12803.htm,KSS14011,"Errore di boot nel file {Nome del file}, riga {Numero riga}: {Testo dell'errore}"
files/Cases\Case_CA12812.htm,KSS13041,Errore di lettura dell'indirizzo MAC dal KLI
files/Cases\Case_CA12967.htm,KSS10043,Timeout durante la creazione del collegamento all'apparecchio EIP {Nome}
files/Cases\Case_CA12969.htm,KSS10045,Collegamento all'apparecchio EIP {Nome} interrotto.
files/Cases\Case_CA12971.htm,KSS10046,Timeout durante la creazione del collegamento tra PLC e {Nome}
files/Cases\Case_CA12974.htm,KSS10047,Interrotta connessione tra PLC e {Nome}
files/Cases\Case_CA12975.htm,KSS10053,Collegamento ID {ID} (slot {ID}) all'apparecchio EIP {Nome} interrotto
files/Cases\Case_CA12977.htm,KSS10054,Timeout durante la creazione del collegamento ID {ID} (slot {ID}) all'apparecchio EIP {Nome}
files/Cases\Case_CA12979.htm,KSS10043,Timeout durante la creazione del collegamento all'apparecchio EIP {Nome}
files/Cases\Case_CA12981.htm,KSS10045,Collegamento all'apparecchio EIP {Nome} interrotto.
files/Cases\Case_CA12983.htm,KSS10046,Timeout durante la creazione del collegamento tra PLC e {Nome}
files/Cases\Case_CA12986.htm,KSS10047,Interrotta connessione tra PLC e {Nome}
files/Cases\Case_CA12987.htm,KSS10053,Collegamento ID {ID} (slot {ID}) all'apparecchio EIP {Nome} interrotto
files/Cases\Case_CA12989.htm,KSS10054,Timeout durante la creazione del collegamento ID {ID} (slot {ID}) all'apparecchio EIP {Nome}
files/Cases\Case_CA13096.htm,Navigator 00030,Ripristino non riuscito
files/Cases\Case_CA13101.htm,KSS03186,Azionamenti scaricati (causa: {Causa della scarica})
files/Cases\Case_CA13104.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA13204.htm,KSS00200,Gli azionamenti non sono pronti.
files/Cases\Case_CA13205.htm,KSS00200,Gli azionamenti non sono pronti.
files/Cases\Case_CA13206.htm,KSS00200,Gli azionamenti non sono pronti.
files/Cases\Case_CA13208.htm,KSS01388,{Nome} Variabile protetta in scrittura nel modulo {Nome file} frase {Numero frase}
files/Cases\Case_CA13211.htm,KSS00003,Memoria tampone messaggi piena
files/Cases\Case_CA13224.htm,KSS26128,Nessun collegamento con EMD
files/Cases\Case_CA13226.htm,KSS00022,Sovratemperatura mainboard
files/Cases\Case_CA13387.htm,KSS00072,RESUME non ammesso per interrupt globali
files/Cases\Case_CA13391.htm,KSS15014,Errore di collegamento SmartPad
files/Cases\Case_CA13643.htm,KSS01505,Combinazione delle variabili {Numero frase} non ammessa
files/Cases\Case_CA13644.htm,KSS02285,Attesa nome del componente
files/Cases\Case_CA13659.htm,KSS15019,Conferma: superata velocità massima specifica per asse nel modo T1
files/Cases\Case_CA13664.htm,KSS03273,Spline troppo lunga
files/Cases\Case_CA13666.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA13705.htm,SmartHMI  DialogMessageOpenViewFailure,Il modulo [{0}] non può essere caricato poiché si è verificato un errore durante l'inizializzazione di questa componente.
files/Cases\Case_CA13720.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA13721.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA13728.htm,Cross3Archive 00024,Timeout in {0}!
files/Cases\Case_CA13729.htm,Cross3Archive 00024,Timeout in {0}!
files/Cases\Case_CA14007.htm,KSS15134,Conf.: Arresto tramite controllo di sicurezza prima del superamento del campo di sorveglianza n. {Numero del campo di sorveglianza}
files/Cases\Case_CA14129.htm,KSS03246,Conf.: Accoppiamento/disaccoppiamento non consentito per asse {Asse}
files/Cases\Case_CA14227.htm,KSS27014,Dati configurazione non validi per il freno{Freno}{Asse} (codice errore {Codice di errore})
files/Cases\Case_CA14238.htm,KSS13021,<{ID bus}> Errore rete Ethercat. {Dettagli} [{Dettagli}]
files/Cases\Case_CA14243.htm,Navigator 00004,Errore archiviazione
files/Cases\Case_CA14245.htm,Navigator 00004,Errore archiviazione
files/Cases\Case_CA14254.htm,KSS27001,Il freno{Freno n.}{Asse n.} ha raggiunto il limite di usura
files/Cases\Case_CA14255.htm,KSS27018,Nessun intervento del freno{Freno}{Asse} rilevato
files/Cases\Case_CA14256.htm,KSS27007,Momento di mantenimento freno{Freno n.}{Asse n.} insufficiente
files/Cases\Case_CA14262.htm,KSS00132,Freno difettoso {Numero di asse}.
files/Cases\Case_CA14287.htm,KSS00099,Errore in lettura/scrittura: {Istanza bus}
files/Cases\Case_CA14308.htm,KSS15135,Conf.: Arresto tramite controllo di sicurezza prima del superamento del campo cella.
files/Cases\Case_CA14315.htm,KSS15058,Controllo in stato a prova di errori.
files/Cases\Case_CA14333.htm,TVW00110,Macro di inizializzazione macro{MakroNumberSpecialRun} non disponibile. Inizializzazione impossibile.
files/Cases\Case_CA14334.htm,TVW00110,Macro di inizializzazione macro{MakroNumberSpecialRun} non disponibile. Inizializzazione impossibile.
files/Cases\Case_CA14336.htm,KSS27010,Impossibile verificare efficacia del freno{Freno}{Asse}
files/Cases\Case_CA14339.htm,KSS27010,Impossibile verificare efficacia del freno{Freno}{Asse}
files/Cases\Case_CA14342.htm,KSS27010,Impossibile verificare efficacia del freno{Freno}{Asse}
files/Cases\Case_CA14347.htm,Cross3Archive 00061,"L'archiviazione su ""{0}"" non è configurata!"
files/Cases\Case_CA14354.htm,KSS15066,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA14909.htm,Simulate 00003,In attesa di {Espressione}
files/Cases\Case_CA15183.htm,KSS01446,Assegnazione del valore non permessa: {Assegnazione} {ModuleLine}
files/Cases\Case_CA15333.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA15334.htm,KSS12053,Il tipo di armadio configurato è incompatibile con la configurazione EtherCat
files/Cases\Case_CA15336.htm,KSS00272,Numero robot non programmato.
files/Cases\Case_CA15384.htm,KSS02038,Dichiarazione non è nella sezione di dichiarazione
files/Cases\Case_CA15386.htm,KSS02039,Istruzione non è nella sezione di istruzione
files/Cases\Case_CA15391.htm,KSS15049,Riferimento calibrazione fallito
files/Cases\Case_CA15415.htm,KSS27007,Momento di mantenimento freno{Freno n.}{Asse n.} insufficiente
files/Cases\Case_CA15496.htm,KSS01155,"Approssimazione non possibile, torsione eccessiva {+ (messaggio ridondante)}"
files/Cases\Case_CA15524.htm,KSS13020,<{ID bus}> Errore bus Ethercat. Apparecchio: {Dettagli} [{Dettagli}]
files/Cases\Case_CA15538.htm,KSS13020,<{ID bus}> Errore bus Ethercat. Apparecchio: {Dettagli} [{Dettagli}]
files/Cases\Case_CA15539.htm,KSS26128,Nessun collegamento con EMD
files/Cases\Case_CA15549.htm,KSS03122,$CIRC_MODE programmato in modo errato (regola {Causa} violata).
files/Cases\Case_CA15552.htm,KSS03094,"$ORI_TYPE=#IGNORE non ammesso, causa {Causa}"
files/Cases\Case_CA15638.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA15640.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA15644.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA15646.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA15653.htm,KSS13015,<{ID bus}> Errore rete Ethercat scansione bus. Dispositivo: {Apparecchio errato} [{Informazione addizionale}]
files/Cases\Case_CA15966.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA16638.htm,KSS14005,Boot non riuscito nel modulo: {Nome del modulo}
files/Cases\Case_CA16641.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA16987.htm,KSS26271,Conf.: Caricamento non riuscito (alimentatore {Alimentatore})
files/Cases\Case_CA17026.htm,KSS01401,Struttura di controllo prossima frase {Numero frase}
